ds,yhat,yhat_lower,yhat_upper
2018-02-23,32467.58720041463,28836.42635617371,36059.65089792302
2018-02-24,29855.424221650374,26524.913392069047,33395.96759028978
2018-02-25,29002.3667239255,25718.28255680312,32507.82274288734
2018-02-26,32170.329172203776,28485.217865399034,35826.81146244796
2018-02-27,32651.93609913347,29024.36992252024,36303.63859571962
2018-02-28,32524.01454788137,28882.632243108594,35896.693664338
2018-03-01,32209.048414617893,28274.64594673061,35742.62417466065
2018-03-02,31663.37395976046,28186.893909754344,35136.051948703935
2018-03-03,28981.13533647556,25298.459538507705,32668.53641417511
2018-03-04,28061.84311950162,24508.944074522133,31628.865924060465
2018-03-05,31169.08609495922,27497.145949582828,34575.49960811701
2018-03-06,31596.999333421987,27964.37493914427,35197.1305630177
2018-03-07,31423.713912602645,27689.484860461092,35072.92846234034
2018-03-08,31072.77535058414,27083.073241862712,34752.89465231409
2018-03-09,30501.310992698418,26742.7777435171,34135.916665675184
2018-03-10,27803.96592976653,23808.046375177382,31735.365018936853
2018-03-11,26880.450896171755,22884.63204550942,30520.79695648554
2018-03-12,29994.25259961797,26641.92945791119,33718.983164996534
2018-03-13,30439.109418961147,26931.70537415738,34213.08851145786
2018-03-14,30292.47747960974,26874.546429883416,33908.22991774909
2018-03-15,29976.97355304187,26502.058752688365,33410.70267517353
2018-03-16,29448.57417345891,26060.316493912727,33012.725470099984
2018-03-17,26800.589491262715,22934.228202451508,30622.9790598935
2018-03-18,25931.254080393795,22012.264014907552,29833.250330379356
2018-03-19,29102.48378534481,25733.789276530064,32551.544132584637
2018-03-20,29606.40008627931,25721.32731861441,33205.624695529565
2018-03-21,29518.845487119335,25763.03948806646,33244.16183367981
2018-03-22,29260.874867552368,25756.749553722922,32957.270586628336
2018-03-23,28787.0007312018,25059.59475910412,31918.122712112563
2018-03-24,26189.209497421834,22554.699535238327,30125.18113491386
2018-03-25,25364.5898108104,21725.886121339572,28909.03046571561
2018-03-26,28574.120876982313,25056.902569730926,32623.75981391269
2018-03-27,29109.22142244196,25362.90104621986,32687.139259407715
2018-03-28,29045.282124452864,25289.125747684615,32856.43537468149
2018-03-29,28803.16603216689,25207.03691722733,32644.0527076439
2018-03-30,28337.45474138264,24749.996064668223,32143.375593930894
2018-03-31,25740.45755296833,21948.20550930555,29194.81923809865
2018-04-01,24909.824918979306,21253.204785889197,28354.686037317442
2018-04-02,28107.314749834797,24734.620374606406,31856.782432878554
2018-04-03,28625.312960510673,24878.315042395738,32164.36333261232
2018-04-04,28540.33207071989,24786.191344360857,32404.580876595614
2018-04-05,28274.473507029685,24585.24085084563,31987.196357929337
2018-04-06,27783.63261716433,24051.50251094586,31695.580557233236
2018-04-07,25161.464955796895,21451.62409110603,28871.19101387874
2018-04-08,24306.956514848014,20500.860983699426,27892.125952626346
2018-04-09,27483.14783714975,23802.382957422004,31026.920935405444
2018-04-10,27983.614711468872,24645.501882240093,31718.647313347697
2018-04-11,27885.93049703793,24161.842115408566,31785.950281731817
2018-04-12,27613.096834880027,23798.83376131296,31146.92442510378
2018-04-13,27121.72270707991,23440.35836153888,30798.7263483191
2018-04-14,24505.971167929623,20996.81110820826,28043.439981067953
2018-04-15,23665.116975044897,20224.347456960906,27434.61995047861
2018-04-16,26862.265389462165,23281.119562313655,30462.92769995353
2018-04-17,27390.834938029326,23523.941599218277,30762.096885999195
2018-04-18,27328.02904652339,23691.438700675633,30931.010461466238
2018-04-19,27096.282930250305,23460.39190186422,30650.04509900035
2018-04-20,26651.46511608658,22778.94294623449,30251.22193828579
2018-04-21,24086.852134907964,20202.301525973682,27574.089250834564
2018-04-22,23300.718655813085,19596.687934158042,27025.38945755964
2018-04-23,26555.0922335965,23061.8552849175,30317.071567739742
2018-04-24,27142.274259697424,23392.473144356332,30836.886309818114
2018-04-25,27138.35075499748,23565.583527497816,30808.188736947523
2018-04-26,26964.678094516938,23196.75184243522,30559.78301815529
2018-04-27,26576.12175606603,22507.93388934956,30571.572841378507
2018-04-28,24065.065405104076,20346.369469280657,27516.26556967904
2018-04-29,23329.031454911434,19754.338650798498,26866.166889524655
2018-04-30,26629.461271095763,23200.67126666576,30123.728552318236
2018-05-01,27258.255770342126,23645.20446893317,30939.841736435566
2018-05-02,27291.299399646865,23583.54727870802,30951.00694946751
2018-05-03,27149.952143355058,23540.169516445894,30873.769533222345
2018-05-04,26789.287430574295,23062.618058950593,30580.614226027472
2018-05-05,24302.09326636972,20555.436659356314,28095.08593341005
2018-05-06,23586.477967238287,20033.769982641224,27258.00423965408
2018-05-07,26904.62913468478,23295.825478962757,30644.862948986567
2018-05-08,27549.327290293164,23861.779760274592,31335.86345337566
2018-05-09,27597.43802005788,24046.990028744087,31299.9493480687
2018-05-10,27471.368298146223,23638.17834814981,31040.98085506185
2018-05-11,27127.26601470592,23511.22470706817,30655.69942370449
2018-05-12,24658.981276555296,20940.672171505055,28255.019634447246
2018-05-13,23965.632161098612,20408.78245910942,27575.282789834466
