date,forecast
2018-08-04,31095.571762529544
2018-08-05,30945.020504667402
2018-08-06,34690.98616130027
2018-08-07,36011.387366818264
2018-08-08,37825.80404008494
2018-08-09,38650.766436598125
2018-08-10,36609.95389356681
